"Name,Latitude,Longitude"
"Baclaran Station, 14.5348, 120.9978"
"Libertad Station, 14.5518, 120.9963"
"Gil Puyat Station, 14.5629, 120.9961"
"Pedro Gil Station, 14.5755, 120.9956"
"UN Avenue Station, 14.5845, 120.9948"
"Central Terminal Station, 14.5928, 120.9818"
"Carriedo Station, 14.5991, 120.9795"
"Doroteo Jose Station, 14.6043, 120.9788"
"Bambang Station, 14.6092, 120.9783"
"Tayuman Station, 14.6176, 120.9778"
"Abad Santos Station, 14.6344, 120.9769"
"R. Papa Station, 14.6415, 120.9765"
"5th Avenue Station, 14.6539, 120.9758"
"Monumento Station, 14.6628, 120.9755"
"Balintawak Station, 14.6732, 120.9752"
"Roosevelt Station, 14.6825, 120.9749"
