"Name,Latitude,Longitude"
"Tutuban Station,14.6089,120.9698"
"Blumentritt Station,14.6266,120.9775"
"Laon Laan Station,14.6340,120.9840"
"España Station,14.6410,120.9900"
"Santa Mesa Station,14.6470,120.9960"
"Pandacan Station,14.6530,121.0020"
"Paco Station,14.6590,121.0080"
"San Andres Station,14.6650,121.0140"
"Vito Cruz Station,14.5710,121.0040"
"Buendia Station,14.5545,121.0345"
"Pasay Road Station,14.5480,121.0400"
"Dela Rosa Station,14.5430,121.0450"
"EDSA Station,14.5370,121.0015"
"Nichols Station,14.5130,121.0500"
"FTI Station,14.5070,121.0560"
"Bicutan Station,14.5010,121.0620"
"Sucat Station,14.4950,121.0680"
"Alabang Station,14.4135,121.0369"
"Muntinlupa Station,14.4070,121.0420"
"San Pedro Station,14.4010,121.0480"
"Pacita Station,14.3950,121.0540"
"Biñan Station,14.3890,121.0600"
"Sta. Rosa Station,14.3830,121.0660"
"Cabuyao Station,14.3770,121.0720"
"Mamatid Station,14.3710,121.0780"
"Calamba Station,14.3650,121.0840"
